iter	RMSE
0	0.3775922111
1	0.3647165835
2	0.3530792288
3	0.3421305332
4	0.3317986084
5	0.3211371702
6	0.3110993101
7	0.3024207123
8	0.2943272145
9	0.2859552303
10	0.27821925
11	0.2706445897
12	0.2636446591
13	0.2576275659
14	0.2512577324
15	0.2442712592
16	0.2384660509
17	0.2328465192
18	0.2271415196
19	0.2225870592
20	0.2177266747
21	0.2136698572
22	0.2092415651
23	0.2050992902
24	0.2018216943
25	0.1981269676
26	0.1948775512
27	0.1913560935
28	0.187798276
29	0.1847682903
30	0.1815219229
31	0.1790673073
32	0.1764574851
33	0.174005319
34	0.1717233216
35	0.1696636468
36	0.167516551
37	0.16511825
38	0.1631720371
39	0.1609436047
40	0.1591029086
41	0.1572814104
42	0.1551568497
43	0.1535956347
44	0.1521731522
45	0.1508912215
46	0.1494605338
47	0.1479488102
48	0.1463877326
49	0.1450062777
50	0.1436841151
51	0.1423955744
52	0.1411933958
53	0.1399587304
54	0.1386931207
55	0.1377703124
56	0.1365615361
57	0.1354203892
58	0.1343377336
59	0.1331326397
60	0.1320849824
61	0.1308814583
62	0.1298993164
63	0.1288940177
64	0.1279811345
65	0.1272585339
66	0.1265262097
67	0.1257304547
68	0.1250478008
69	0.1242721329
70	0.1237353635
71	0.1229699416
72	0.1224053169
73	0.121804405
74	0.1212144602
75	0.120618059
76	0.1199369377
77	0.1194129875
78	0.1186944456
79	0.1180676927
80	0.1173577095
81	0.1169003647
82	0.1164016861
83	0.1159274213
84	0.1153627604
85	0.1148731112
86	0.1145208833
87	0.1142189494
88	0.11380432
89	0.1132948244
90	0.112623564
91	0.112262357
92	0.1118705891
93	0.1116898187
94	0.1113081684
95	0.1109596477
96	0.1105434338
97	0.1101566569
98	0.1097327776
99	0.109183524
100	0.1090423143
101	0.1086581417
102	0.1082695718
103	0.1078788366
104	0.1076801674
105	0.1074629292
106	0.1071969985
107	0.1067813605
108	0.1062834137
109	0.1059311923
110	0.1056216001
111	0.1052694633
112	0.1049080466
113	0.1045640239
114	0.1042245896
115	0.1039464492
116	0.103642268
117	0.1033363334
118	0.1031123185
119	0.1028647799
120	0.1028308577
121	0.1025748935
122	0.102179944
123	0.1019268374
124	0.1016512577
125	0.101362197
126	0.1010917758
127	0.1008150113
128	0.1006865284
129	0.1003403103
130	0.09999537814
131	0.09969029007
132	0.0994384385
133	0.09918172434
134	0.0989075319
135	0.09858149939
136	0.09841345816
137	0.09812899337
138	0.09776917801
139	0.09754615913
140	0.09725810325
141	0.09700459246
142	0.09679144406
143	0.09665531171
144	0.09635823979
145	0.09610921722
146	0.09588538027
147	0.09565755739
148	0.09536649281
149	0.09514477982
150	0.09493729307
151	0.09468448767
152	0.0946131786
153	0.09437072127
154	0.09422550355
155	0.09399698215
156	0.09385780845
157	0.09361214267
158	0.09351516663
159	0.0933291063
160	0.09309276601
161	0.09288456039
162	0.09265112301
163	0.09241457153
164	0.09222670474
165	0.09194890282
166	0.09187618517
167	0.09164195024
168	0.09148737749
169	0.09126450056
170	0.09102223091
171	0.09083773047
172	0.09062876732
173	0.09042105355
174	0.09027520165
175	0.09002964273
176	0.089807431
177	0.08960118958
178	0.08943571092
179	0.08924851516
180	0.08913934789
181	0.08906913769
182	0.08887363072
183	0.08869149513
184	0.08854923354
185	0.08824343605
186	0.08808079308
187	0.0879063236
188	0.08784908375
189	0.08771177467
190	0.08758632551
191	0.08741656524
192	0.08723532136
193	0.08708263135
194	0.0868745771
195	0.08680380293
196	0.08661292724
197	0.08650002306
198	0.086431499
199	0.0862302311
200	0.08618473985
201	0.0859442561
202	0.08590631701
203	0.08573019173
204	0.08568848048
205	0.08543010575
206	0.08510397562
207	0.08494504793
208	0.08486839321
209	0.08472571844
210	0.08452239676
211	0.08435726874
212	0.08419378834
213	0.08402340561
214	0.08385803608
215	0.0837398803
216	0.08358248461
217	0.08337867091
